season,team,total_wins,rush_epa,def_epa,pass_block_grade,receiving_grade,avg_qb_epa,sos
2013,ARI,10,-0.088670583,-0.074739035,64.5,81.2,0.5,0.53125
2013,ATL,4,-0.085304166,0.094206446,73.8,73.4,0.5,0.552734
2013,BAL,8,-0.233888709,-0.024167796,82,72,0.5,0.484375
2013,BUF,6,-0.023982805,-0.058584797,79.9,65,0.5,0.519531
2013,CAR,12,-0.037697334,-0.089246952,88.1,78.2,0.5,0.494141
2013,CHI,8,-0.038810088,0.088755702,72.9,87.8,0.5,0.464844
2013,CIN,11,-0.048092158,-0.099371245,87.5,80.2,0.5,0.480469
2013,CLE,4,-0.057437774,0.012006085,92.5,67.6,0.5,0.515625
2013,DAL,8,0.025735881,0.077303798,87.4,75.8,0.5,0.484375
2013,DEN,13,0.02040681,0.005654876,84.2,86.9,0.5,0.46875
2013,DET,7,-0.075251575,0.003553541,84.7,73.7,0.5,0.457031
2013,GB,8.5,0.052072343,0.075288436,82.8,82.5,0.5,0.453125
2013,HOU,2,-0.063726563,0.043163827,75.8,75.4,0.5,0.558594
2013,IND,11,-0.073907361,0.023695254,77.1,71.4,0.5,0.484375
2013,JAX,4,-0.168730992,0.100772589,77.6,63.5,0.5,0.503906
2013,KC,11,-0.019512339,-0.033946979,75.6,64.1,0.5,0.445312
2013,LA,7,-0.100033307,-0.007948756,82.6,69.6,0.5,0.550781
2013,LAC,9,-0.021750039,0.106975495,77.3,85.4,0.5,0.496094
2013,LV,4,-0.04280816,0.086036027,77.9,74,0.5,0.523438
2013,MIA,8,-0.113810404,0.007437238,78.1,78.7,0.5,0.523438
2013,MIN,5.5,0.031792277,0.085855376,85,76.6,0.5,0.511719
2013,NE,12,-0.038487565,0.010144251,78.8,77.3,0.5,0.472656
2013,NO,11,-0.066931533,-0.031044832,83.8,86.7,0.5,0.515625
2013,NYG,7,-0.182132623,-0.056677215,66.7,73.1,0.5,0.519531
2013,NYJ,8,-0.062259726,0.009314754,79.1,72.9,0.5,0.488281
2013,PHI,10,0.032928818,0.022147878,78.5,81.2,0.5,0.453125
2013,PIT,8,-0.144436938,-0.001764297,80,78.7,0.5,0.46875
2013,SEA,13,-0.053611926,-0.146559028,67.3,82.9,0.5,0.490234
2013,SF,12,-0.087948521,-0.071439281,84,73.5,0.5,0.494141
2013,TB,4,-0.081091374,0.019783633,82.3,71.2,0.5,0.574219
2013,TEN,7,-0.069911873,0.037922659,76.7,71.8,0.5,0.503906
2013,WAS,3,-0.019178095,0.038471129,87.2,68.8,0.5,0.515625
2014,ARI,11,-0.163444716,-0.046870773,77.6,71.7,0.5,0.523438
2014,ATL,6,-0.138552163,0.085180255,80.2,77.7,0.5,0.476562
2014,BAL,10,-0.012378223,-0.020107536,84.1,78,0.5,0.46875
