passer,season,team,plays,qb_epa,headshot_href
A.Dalton,2013,CIN,640,0.085551373,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2014,CIN,575,-0.045257693,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2015,CIN,474,0.2168931,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2016,CIN,594,0.090991428,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2017,CIN,575,-0.068389909,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2018,CIN,396,0.071470028,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2019,CIN,570,-0.029597589,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Dalton,2020,DAL,315,0.000436088,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png
A.Davis,2014,LA,317,-0.098341078,https://a.espncdn.com/i/headshots/nfl/players/full/15187.png
A.Luck,2013,IND,651,0.075763412,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png
A.Luck,2014,IND,776,0.135300403,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png
A.Luck,2015,IND,460,0.022872932,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png
A.Luck,2016,IND,583,0.121520433,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png
A.Luck,2018,IND,679,0.141693231,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png
A.Rodgers,2013,GB,328,0.303562373,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2014,GB,606,0.321182315,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2015,GB,686,0.042224951,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2016,GB,777,0.180257668,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2017,GB,466,0.182914393,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2018,GB,680,0.113044509,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2019,GB,632,0.097744264,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Rodgers,2020,GB,614,0.322017064,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png
A.Smith,2013,KC,586,0.060106627,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
A.Smith,2014,KC,598,0.116599931,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
A.Smith,2015,KC,540,0.077374052,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
A.Smith,2016,KC,621,0.065339993,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
A.Smith,2017,KC,643,0.179004476,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
